Gene ID	Gene Name	Design Element	'breast cancer; breast' vs 'normal; breast'.p-value	'breast cancer; breast' vs 'normal; breast'.t-statistic	'breast cancer; breast' vs 'normal; breast'.log2foldchange
ENSG00000000003	TSPAN6	A_24_P83262	0.640107905162742	-0.693570658864831	-0.2
ENSG00000000005	TNMD	A_23_P125588	0.474730896663244	-1.01348508682183	-0.1
ENSG00000000419	DPM1	A_23_P68472	0.00093941455354159	4.28276137198084	0.8
ENSG00000000457	SCYL3	A_23_P74320	0.394406677141796	-1.17933254717878	-0.2
ENSG00000000460	C1orf112	A_23_P11862	0.00396578703164893	3.69431241900432	0.8
ENSG00000000938	FGR	A_23_P103932	0.720634912470145	0.544432858085654	0.1
ENSG00000000971	CFH	A_24_P273972	0.893127872768669	0.220731279330719	0.1
ENSG00000001036	FUCA2	A_23_P145408	4.48321243864198e-06	6.31889523827105	1
ENSG00000001084	GCLC	A_23_P145114	0.999750162479996	0.000382945290348196	0
ENSG00000001167	NFYA	A_23_P214425	0.0401601680796904	2.64186485843647	0.4
ENSG00000001460	STPG1	A_24_P133162	0.56332955197351	-0.837427910011251	0
ENSG00000001461	NIPAL3	A_24_P45367	0.70879358571135	-0.56521595962676	-0.1
ENSG00000001497	LAS1L	A_23_P256021	0.00919593689286737	3.33435554493332	0.4
ENSG00000001561	ENPP4	A_23_P70318	0.655520947261808	0.663321754805805	0.1
ENSG00000001617	SEMA3F	A_23_P6878	0.980130592726265	0.0430935760226962	0
ENSG00000001626	CFTR	A_24_P931355	0.953626682068994	-0.0958356804537564	0
ENSG00000001629	ANKIB1	A_23_P93912	0.100183891323194	2.14827450985537	0.5
ENSG00000002016	RAD52	A_23_P64990	0.0484124594008352	-2.5436039586149	-0.3
ENSG00000002330	BAD	A_23_P150207	0.589938844671039	-0.786928084555719	0
ENSG00000002549	LAP3	A_23_P18604	0.0322627137149461	2.75359790716621	0.5
ENSG00000002586	CD99	A_23_P217510	2.36184590371589e-06	6.5638974622644	1.8
ENSG00000002587	HS3ST1	A_23_P121657	0.570703009188021	-0.822649874344276	0
ENSG00000002726	AOC1	A_23_P59452	0.672779940322416	0.631744943441227	0.1
ENSG00000002745	WNT16	A_23_P134601	0.321804322940322	1.35020248829842	0.1
ENSG00000002746	HECW1	A_32_P166422	0.924373593150107	-0.153016700839579	0
ENSG00000002834	LASP1	A_23_P89187	0.542262040685658	0.879699758221971	0.1
ENSG00000002919	SNX11	A_23_P89343	0.154705615843864	1.87514799086174	0.2
ENSG00000002933	TMEM176A	A_23_P252082	0.690995140071869	0.597699664377817	0.3
ENSG00000003056	M6PR	A_24_P210343	0.131316339088028	1.98048053225902	0.3
ENSG00000003096	KLHL13	A_23_P159974	6.80909070420152e-12	-12.0330593534486	-2.7
ENSG00000003137	CYP26B1	A_23_P210100	0.144871056468984	1.91643194116159	0.6
ENSG00000003147	ICA1	A_24_P372012	0.329662004118141	-1.33057911449268	-0.3
ENSG00000003249	DBNDD1	A_23_P26439	0.237845404292606	1.58420832866414	0.1
ENSG00000003393	ALS2	A_23_P377664	0.177218484141449	1.7864954589218	0.1
ENSG00000003400	CASP10	A_23_P209408	0.0361966835516708	2.69408334816875	0.4
ENSG00000003402	CFLAR	A_23_P209394	0.767498511774599	0.457846796777198	0.1
ENSG00000003436	TFPI	A_23_P17095	0.935860720528543	0.130752533765776	0.1
ENSG00000003509	NDUFAF7	A_23_P28318	0.906442011991051	-0.192383589677752	0
ENSG00000003756	RBM5	A_23_P18276	5.64380913213812e-09	-8.88663759397854	-1.4
ENSG00000003987	MTMR7	A_24_P383095	0.124839802738532	-2.01254734508397	-0.2
ENSG00000003989	SLC7A2	A_23_P255837	0.084913349934469	-2.24273486914063	-0.5
ENSG00000004059	ARF5	A_23_P254601	0.575855579550089	0.812713770942073	0
ENSG00000004139	SARM1	A_24_P267293	0.0371881975017621	-2.6805444126059	-0.4
ENSG00000004142	POLDIP2	A_24_P142442	0.457962075675857	1.04739096887795	0.2
ENSG00000004399	PLXND1	A_24_P376391	0.705457744544113	0.571532011228323	0.1
ENSG00000004455	AK2	A_24_P179903	0.0181884970104551	3.02839129100309	0.5
ENSG00000004468	CD38	A_23_P167328	0.0533016450519792	2.49367095580213	0.4
ENSG00000004478	FKBP4	A_32_P71788	0.888986984740631	-0.230093760053408	-0.1
ENSG00000004487	KDM1A	A_24_P74981	0.105462090908096	-2.11625463165824	-0.3
ENSG00000004534	RBM6	A_23_P57941	0.00628548653711033	-3.49786335228347	-0.4
ENSG00000004660	CAMKK1	A_23_P207648	0.00772757786952225	-3.40984954493819	-0.3
ENSG00000004700	RECQL	A_23_P25215	0.0223276754414015	2.93031719561353	0.5
ENSG00000004766	VPS50	A_24_P409219	0.423159028354803	-1.11899716451091	-0.2
ENSG00000004776	HSPB6	A_24_P308029	0.575694799190556	0.813180609214509	0.2
ENSG00000004777	ARHGAP33	A_24_P10674	0.00528493737041049	-3.57217338170441	-0.6
ENSG00000004779	NDUFAB1	A_23_P140960	4.97205580083891e-07	7.15981306227213	1.2
ENSG00000004799	PDK4	A_24_P243749	1.00776820806505e-10	-10.4782617032496	-3
ENSG00000004809	SLC22A16	A_23_P42004	0.356146062030909	1.26712741205381	0.1
ENSG00000004838	ZMYND10	A_23_P29663	0.00168539284832516	-4.04527249872156	-0.3
ENSG00000004846	ABCB5	A_23_P111662	0.677977424085435	0.622432779992567	0
ENSG00000004848	ARX	A_23_P306223	0.807409032972792	-0.384832781224032	0
ENSG00000004864	SLC25A13	A_23_P82334	0.00694511202500335	3.45626977004297	0.6
ENSG00000004866	ST7	A_24_P141019	0.0169721956753857	3.05998990749225	0.5
ENSG00000004897	CDC27	A_23_P66777	0.597586632367592	0.772361968351096	0.2
ENSG00000004939	SLC4A1	A_23_P77980	0.830042809598444	-0.343893818409824	0
ENSG00000004948	CALCR	A_23_P134484	0.000424346518279987	-4.5909417895478	-0.3
ENSG00000004961	HCCS	A_23_P257945	0.000421185770656978	4.59476467722185	0.8
ENSG00000004975	DVL2	A_23_P55342	0.255702615934441	-1.53183891340741	-0.2
ENSG00000005001	PRSS22	A_23_P400298	0.197486640014728	1.71346796544463	0.2
ENSG00000005007	UPF1	A_24_P194154	0.313063747825919	1.37199983960421	0.2
ENSG00000005020	SKAP2	A_23_P157128	0.0171423086174944	-3.05510951119958	-0.9
ENSG00000005022	SLC25A5	A_24_P182182	3.2667720967372e-08	8.20484385462612	1.4
ENSG00000005059	MCUB	A_23_P255376	0.000156442002726136	4.97880312236301	0.7
ENSG00000005073	HOXA11	A_23_P42706	NA	-0.985313553421881	0
ENSG00000005075	POLR2J	A_24_P292020	4.56499794842574e-05	5.43548418364759	0.8
ENSG00000005100	DHX33	A_24_P364970	0.803773866121692	-0.391912729941432	-0.1
ENSG00000005102	MEOX1	A_23_P107173	NA	1.04916544346807	0
ENSG00000005108	THSD7A	A_32_P11670	0.123143218168904	2.02112539924267	0.2
ENSG00000005156	LIG3	A_32_P204624	0.825761971554231	-0.351334346911626	0
ENSG00000005175	RPAP3	A_23_P2683	0.0504040491445285	2.52264834414326	0.3
ENSG00000005187	ACSM3	A_23_P317756	0.482017373818264	-0.999270450947112	-0.1
ENSG00000005189	REXO5	A_23_P49459	0.186968289772352	1.75153426905365	0.2
ENSG00000005194	CIAPIN1	A_23_P88781	0.00485583795280185	3.60887221228795	0.6
ENSG00000005206	SPPL2B	A_23_P79066	0.441502523511805	-1.08132976707181	-0.2
ENSG00000005238	FAM214B	A_23_P43380	0.323272517656232	-1.34604052412189	-0.1
ENSG00000005243	COPZ2	A_23_P101093	0.529722829638216	0.903471250893033	0.2
