Gene ID	Gene Name	Design Element	'triple negative breast cancer tumor' vs 'non-triple negative breast cancer tumor'.p-value	'triple negative breast cancer tumor' vs 'non-triple negative breast cancer tumor'.t-statistic	'triple negative breast cancer tumor' vs 'non-triple negative breast cancer tumor'.log2foldchange
ENSG00000000003	TSPAN6	8173941	NA	-0.951307519980431	-0.2
ENSG00000000005	TNMD	8168737	NA	-1.63019090635069	-0.2
ENSG00000000419	DPM1	8067017	NA	-0.137342882241562	0
ENSG00000000457	SCYL3	7922250	NA	0.722748765698497	0.1
ENSG00000000460	C1orf112	7907183	NA	0.243629574659995	0.1
ENSG00000000938	FGR	7914112	NA	2.59398104107496	0.4
ENSG00000000971	CFH	7908459	0.626038114471856	1.12699538553958	0.5
ENSG00000001036	FUCA2	8129974	NA	-1.653450986952	-0.4
ENSG00000001084	GCLC	8127158	NA	-1.26199616077929	-0.3
ENSG00000001167	NFYA	8119408	NA	1.91009858715503	0.5
ENSG00000001460	STPG1	7913787	NA	-0.329238988509822	-0.1
ENSG00000001461	NIPAL3	7898939	NA	0.242398817593308	0.1
ENSG00000001497	LAS1L	8173269	NA	-0.439319490197853	-0.1
ENSG00000001561	ENPP4	8120061	NA	0.588115711601749	0.2
ENSG00000001617	SEMA3F	8079896	0.133655697651817	-2.94916507858608	-0.9
ENSG00000001626	CFTR	8135661	NA	-0.947182476331066	-0.3
ENSG00000001629	ANKIB1	8134180	NA	0.227833825189298	0
ENSG00000001630	CYP51A1	8140864	NA	-0.887918390227129	-0.2
ENSG00000002016	RAD52	7960261	NA	0.147192428750346	0
ENSG00000002079	MYH16	8134564	NA	0.519572589264771	0
ENSG00000002330	BAD	7949067	NA	-0.0402706180018441	0
ENSG00000002549	LAP3	8094259	NA	-0.374638122755618	-0.1
ENSG00000002586	CD99	8176360	0.995503710969009	-0.019627113929319	0
ENSG00000002587	HS3ST1	8099388	NA	1.06497058847348	0.1
ENSG00000002726	AOC1	8137271	NA	0.0789396253170812	0
ENSG00000002745	WNT16	8135763	NA	0.871357696532735	0.1
ENSG00000002746	HECW1	8132465	NA	-0.761509255027506	-0.1
ENSG00000002834	LASP1	8006820	0.372688480009902	-1.77834900160977	-0.8
ENSG00000002919	SNX11	8008096	NA	-0.294156617648977	0
ENSG00000002933	TMEM176A	8137264	0.923023603073276	0.296239118032568	0.1
ENSG00000003056	M6PR	7960933	NA	1.44362903607593	0.3
ENSG00000003096	KLHL13	8174654	0.451568758446042	1.55303140373042	1
